[2026-05-18T08:06:48.069Z] GET http://localhost:5177/node_modules/.vite/deps/axios.js?v=bc9b4507 → 200 (?ms, 99771B)
[2026-05-18T08:06:48.126Z] GET http://localhost:5177/api/v1/vouchers?page=1&pageSize=20 → 200 (8ms, ?B)
[2026-05-18T08:06:48.148Z] GET http://localhost:5177/node_modules/@fontsource/jetbrains-mono/files/jetbrains-mono-latin-400-normal.woff2 → 304 (98ms, ?B)
[2026-05-18T08:07:36.407Z] GET http://localhost:5177/api/v1/vouchers?page=1&pageSize=20&holderName=%E5%BC%A0%E4%B8%89 → 200 (19ms, 1503B)
[2026-05-18T08:08:12.629Z] GET http://localhost:5177/api/v1/vouchers?page=1&pageSize=20 → pending (?ms, ?B)
[2026-05-18T08:08:13.030Z] GET http://localhost:5177/api/v1/vouchers?page=1&pageSize=20 → 200 (183ms, 2560B)
[2026-05-18T08:09:54.766Z] GET http://localhost:5177/api/v1/vouchers?voucherType=COUPON&page=1&pageSize=20 → pending (?ms, ?B)
[2026-05-18T08:10:19.780Z] GET http://localhost:5177/api/v1/vouchers?holderId=E00&page=1&pageSize=20 → 200 (14ms, 2560B)
[2026-05-18T08:10:19.780Z] GET http://localhost:5177/api/v1/vouchers?keyword=QA&page=1&pageSize=20 → 200 (331ms, 94B)
[2026-05-18T08:10:19.780Z] GET http://localhost:5177/api/v1/vouchers?holderName=%E5%BC%A0%E4%B8%89&voucherType=RESOURCE_USAGE&page=1&pageSize=20 → 200 (328ms, 1155B)
[2026-05-18T08:10:19.780Z] GET http://localhost:5177/api/v1/vouchers?expireStart=2026-06-14&expireEnd=2026-06-16&page=1&pageSize=20 → 200 (334ms, 797B)
[2026-05-18T08:11:03.158Z] GET http://localhost:5177/api/v1/vouchers?page=1&pageSize=2 → 200 (315ms, 799B)
[2026-05-18T08:11:03.158Z] GET http://localhost:5177/api/v1/vouchers?page=2&pageSize=2 → 200 (315ms, 791B)
[2026-05-18T08:11:03.158Z] GET http://localhost:5177/api/v1/vouchers?page=4&pageSize=2 → 200 (315ms, 447B)
